"@title","Indonesia"
"#01747","Hop! Hoppity hop!"
"#01748","Snowbug"
"#01749","Whoo, sure is a cold one today. I feel like I could freeze!"
"#01750","Fiery Snow"
"#01751","The rage of all living things courses through me!"
"#01752","Icebug"
"#01753","I hide underneath the frost and snow for moments like this!"
"#01754","Icebox"
"#01755","You hit me! You actually hit me! That wasn't very n-ice!"
"#01756","Polar Pupper"
"#01757","Quit it, I'm not a bad monster! I'm just a little misunderstood..."
"#01758","Falcone"
"#01759","I just turned 300 the other day. I'm not about to die now!"
"#01760","Glacie"
"#01761","I've been waiting for you! You'll never be the same after this battle!"
"#01762","Igluu"
"#01763","I'm just a regular igloo. Trust me, crawl right in and relax."
"#01764","Howling Wraith"
"#01765","I'm so lonely...I just want a little company, that's all!"
"#01766","Freezard"
"#01767","'Sup! Shall we dance?"
"#01768","Snake Ice"
"#01769","I'm so cold, I just want to go to bed. Let's get this over with!"
"#01770","Snow Dragon"
"#01771","You've done well to make it this far. But your lucky streak ends here!"
"#01772","Swamp Toad"
"#01773","Croak, croak. Croooooooooak!"
"#01774","Crabella"
"#01775","Have we met before...? Could we have been lovers in a past life? Yeah, right!"
"#01776","Marshmaid"
"#01777","Sink into the swamp and get ready to party!"
"#01778","Sneakyfish"
"#01779","You spotted me? N-n-no way!"
"#01780","Skullene"
"#01781","Hee hee hee... I just love the shape of your heads!"
"#01782","Brute-Belly Jackson"
"#01783","I'm up? I'm up! Geez, I'm sooo nervous!"
"#01784","Kid Slime"
"#01785","Hi, hi, hi! I'll show you how awesome a slime can be!"
"#01786","Dropplet"
"#01787","I'm made of only the purest mineral water!"
"#01788","Tinyturt"
"#01789","I'm small, but I pack a punch! Come at me anytime!"
"#01790","Giant Alraune"
"#01791","Don't be shy, get in close and enjoy my flower's fragrance!"
"#01792","Steel-Stomach Jackie"
"#01793","Just try it! I'll deflect every last one of your attacks!"
"#01794","Skullbug"
"#01795","Whoa, a living human! I thought you were just a myth!"
"#01796","Murderbirb"
"#01797","I'm gonna peck you where it hurts!"
"#01798","Gelatintin"
"#01799","I'll teach you the meaning of fear and turn you into jelly!"
"#01800","Big-Bellied Frog"
"#01801","I-if you attack my belly, I'll explode! ...Just kidding."
"#01802","Ember"
"#01803","If you play with fire, you're gonna get burned!"
"#01804","Volcanus"
"#01805","I'm about to blow my top!"
"#01806","Mimico"
"#01807","Owwie, I can't get out of this darned chest. Now I'm mad!"
"#01808","Gasper"
"#01809","You can't hit me, I'm made of smoke!"
"#01810","Undead Cap'n"
"#01811","I'll be gettin' right back to me ship after I deal with ye scurvy cur!"
"#01812","Lavallie"
"#01813","How'd you like to take a dip in hot, steaming magma?"
"#01814","Lava Bat"
"#01815","I fell asleep and burned down a whole forest. I'm such a klutz!"
"#01816","Axey Lottle"
"#01817","Wow, a real, live human! My friends'll never believe this!"
"#01818","Magmafish"
"#01819","Who dragged me out of my magma?!"
"#01820","Hotalot Devil"
"#01821","GROOOOOAR! You summon me and so I appear!"
"#01822","Dark Smoke"
"#01823","Here we are again. Get ready to suffocate!"
"#01824","Flaming Hand"
"#01825","I'll reach out and set your heart aflame!"
"#01826","Firaj"
"#01827","My fiery breath will burn you to ash!"
"#01828","Erupterror"
"#01829","I'll give you a taste of my volcanic passion!"
"#01830","Flame Dragon"
"#01831","Burn... Burn it all...!"
"#01832","Ghost"
"#01833","Boo! Aveeenge meee!"
"#01834","Brawlbunn"
"#01835","Hi, great to meet ya. And now we fight!"
"#01836","=#00251"
"#01837","A battle between rulers? What a spiffing idea!"
"#01838","Octoman"
"#01839","Greetings, I am Octoman,<br>a humble Martian tourist."
"#01840","Pandah"
"#01841","Don't underestimate me. I'm no regular panda!"
"#01842","Midnight Snack Mervin"
"#01843","Hey buddy, you're not looking too good. You'll be white as a sheet by the time I finish with you!"
"#01844","Stacey Ditz"
"#01845","Yeah, hi. I got nothing to say."
"#01846","Poochington"
"#01847","Woof, woof! I'm 16 years old!"
"#01848","Flatsy Maxie"
"#01849","I'm full of energy since I switched to an iron-rich diet!"
"#01850","Mochipork"
"#01851","Oink, oink!"
"#01852","=#00248"
"#01853","What a pleasure to meet another Kairo user so far from home!"
"#01854","=#00249"
"#01855","How's it going? Gosh, I was worried I wouldn't get a cameo this time."
"#01856","=#00250"
"#01857","Heh heh. Soon I'll unleash my evil on the whole world!"
"#01858","Ducky Bills"
"#01859","I'm tougher than any duck you'll ever meet!"
"#01860","Sally Prin"
"#01861","Hee hee. You shine so bright, I thought you were made of gold for a minute."
"#01862","=#00263"
"#01863","Hi! It's me, Kairobot! Ready for some training, buddy?"
"#01864","Vince Balboa"
"#01865","Make way for the Legends of Heropolis! Let's do this thing!"
"#01866","Tuxy"
"#01867","Things were quiet over in March to a Million, so I thought I'd drop in!"
"#01868","Manager Clapperclaw"
"#01869","Hey, you! Don't mess this up, or I swear you'll be sorry!"
"#01870","Mister X"
"#01871","Chicken"
"#01872","Pig"
"#01873","Cow"
"#01874","Shockfish"
"#01875","Telltail Fish"
"#01876","Metalbok"
"#01877","Bwahaha! Found you!"
"#01878","Treasure Sack"
"#01879","Will you find the treasure of your dreams? Or will it be a nightmare?"
"#01880","Kairobot Knight"
"#01881","My blade is keen, unwavering, unstoppable! Have at thee!"
"#01882","Kairobot Mage"
"#01883","The time has come to use the technique passed down by my ancestors!"
"#01884","Aloha Kairobot"
"#01885","Aloha! Nice waves today, huh?"
"#01886","Kairo Kommander"
"#01887","Let's make this quick, I just got to a great part in the game I was playing."
"#01888","Wairobot Mage"
"#01889","Heh heh heh... Anyone who can't be bribed deserves to be punished!"
"#01890","Wairobot Warrior"
"#01891","Demonic Wairobot"
"#01892","Wairo Tank"
"#01893","Wairo Demon King"
"#01894","Bwahahaha! I've been waiting for this... I'll burn you to a crisp!"
"#01895","Lord of the Frier"
"#01896","I'll fry you up and serve you with some nice chicken skewers!"
"#01897","Gifty"
"#01898","Merry Christmas!"
"#01899","Seal"
"#01900","Raccoon"
"#01901","Armadillo"
"#01902","Weasel"
"#01903","Boar"
"#01904","Capybara"
"#01905","Turtle"
"#01906","Fox"
"#01907","Bear"
"#01908","Rhino"
"#01909","Zebra"
"#01910","Elephant"
"#01911","Tanuki"
"#01912","Crane"
"#01913","Tapir"
"#01914","Hamster"
"#01915","Hedgehog"
"#01916","Beaver"
"#01917","Owl"
"#01918","Flying Squirrel"
"#01919","Guinea Pig"
"#01920","Goat"
"#01921","Crocodile"
"#01922","Stark"
"#01923","Frank"
"#01924","Jingu"
"#01925","Grace"
"#01926","Dale"
"#01927","Coogan"
"#01928","Steve"
"#01929","Eric"
"#01930","Greene"
"#01931","Honda"
"#01932","Laurel"
"#01933","Warba"
"#01934","Brook"
"#01935","Echo"
"#01936","Kris"
"#01937","Nathan"
"#01938","Tony"
"#01939","Goody"
"#01940","Mikawa"
"#01941","Elvis"
"#01942","Aryn"
"#01943","Izumo"
"#01944","John"
"#01945","Hawke"
"#01946","Basset"
"#01947","Willis"
"#01948","Perty"
"#01949","Fraser"
"#01950","Willie"
"#01951","Mona"
"#01952","Nelson"
"#01953","Goose"
"#01954","Maddy"
"#01955","Cathy"
"#01956","Bearly"
"#01957","Belle"
"#01958","Polo"
"#01959","Marsh"
"#01960","Bates"
"#01961","=#00894"
"#01962","Kazuma"
"#01963","Pieter"
"#01964","Hicks"
"#01965","Jonah"
"#01966","Brody"
"#01967","Schott"
"#01968","Blaze"
"#01969","Amy"
"#01970","James"
"#01971","J.J."
"#01972","Leo"
"#01973","Poole"
"#01974","Brooks"
"#01975","Tawny"
"#01976","Omar"
"#01977","Hans"
"#01978","Norton"
"#01979","Carnel"
"#01980","Roy"
"#01981","Kes"
"#01982","Juan"
"#01983","Mel"
"#01984","Janice"
"#01985","Cicely"
"#01986","Mimi"
"#01987","Anita"
"#01988","Ruby"
"#01989","Hannah"
"#01990","Mari"
"#01991","Towa"
"#01992","Mary"
"#01993","Summer"
"#01994","August"
"#01995","Kelly"
"#01996","Sammy"
"#01997","Ginny"
"#01998","Una"
"#01999","Petra"
"#02000","Macha"
"#02001","Sequo"
"#02002","Mason"
"#02003","Haru"
"#02004","Stormy"
"#02005","Teasel"
"#02006","Alex"
"#02007","Orion"
"#02008","Holly"
"#02009","Hakaan"
"#02010","Marina"
"#02011","Davey"
"#02012","Dewey"
"#02013","Andrew"
"#02014","Bram"
"#02015","Welch"
"#02016","Mac"
"#02017","Drake"
"#02018","Lou"
"#02019","Trevor"
"#02020","Dixon"
"#02021","Kanna"
"#02022","Carlie"
"#02023","Amanda"
"#02024","Marnie"
"#02025","=#00351"
"#02026","Items: <0> <1>+<br>Items: <2> <3>+ Owned"
"#02027","=#01131"
"#02028","=#01136"
"#02029","=#00352"
"#02030","=#00371"
"#02031","=#00372"
"#02032","=#00401"
"#02033","=#00402"
"#02034","=#00415"
"#02035","=#00416"
"#02036","=#00417"
"#02037","=#00425"
"#02038","=#00426"
"#02039","=#00427"
"#02040","=#00375"
"#02041","=#00376"
"#02042","=#00377"
"#02043","=#00486"
"#02044","=#00487"
"#02045","=#00431"
"#02046","=#00432"
"#02047","=#00379"
"#02048","=#00380"
"#02049","=#00381"
"#02050","=#00382"
"#02051","=#00420"
"#02052","=#00421"
"#02053","=#00422"
"#02054","=#00435"
"#02055","=#00436"
"#02056","=#00437"
"#02057","=#00385"
"#02058","=#00386"
"#02059","=#00387"
"#02060","=#00440"
"#02061","=#00441"
"#02062","=#00442"
"#02063","=#00391"
"#02064","=#00392"
"#02065","=#00404"
"#02066","=#00405"
"#02067","=#00406"
"#02068","=#00407"
"#02069","=#00445"
"#02070","=#00446"
"#02071","=#00447"
"#02072","=#00355"
"#02073","=#00356"
"#02074","=#00357"
"#02075","=#00450"
"#02076","=#00451"
"#02077","=#00452"
"#02078","=#00489"
"#02079","=#00490"
"#02080","=#00491"
"#02081","=#00492"
"#02082","=#00494"
"#02083","=#00495"
"#02084","=#00496"
"#02085","=#00497"
"#02086","=#00455"
"#02087","=#00456"
"#02088","=#00457"
"#02089","=#00460"
"#02090","=#00461"
"#02091","=#00462"
"#02092","=#00500"
"#02093","=#00501"
"#02094","=#00502"
"#02095","=#00465"
"#02096","=#00466"
"#02097","=#00467"
"#02098","=#00470"
"#02099","=#00471"
"#02100","=#00472"
"#02101","=#00360"
"#02102","=#00361"
"#02103","=#00362"
"#02104","=#00474"
"#02105","=#00475"
"#02106","=#00476"
"#02107","=#00477"
"#02108","=#00409"
"#02109","=#00410"
"#02110","=#00411"
"#02111","=#00412"
"#02112","=#00365"
"#02113","=#00366"
"#02114","=#00367"
"#02115","=#00479"
"#02116","=#00480"
"#02117","=#00481"
"#02118","=#00482"
"#02119","=#00396"
"#02120","=#00397"
"#02121","=#00516"
"#02122","=#01132"
"#02123","=#00517"
"#02124","=#00518"
"#02125","=#00519"
"#02126","=#00522"
"#02127","=#00523"
"#02128","=#00524"
"#02129","=#00525"
"#02130","=#00526"
"#02131","=#00527"
"#02132","=#00528"
"#02133","=#00523"
"#02134","=#00530"
"#02135","=#00531"
"#02136","=#00540"
"#02137","=#01133"
"#02138","=#00541"
"#02139","=#00543"
"#02140","=#00544"
"#02141","=#00545"
"#02142","=#00546"
"#02143","=#00547"
"#02144","=#00549"
"#02145","=#00550"
"#02146","=#00551"
"#02147","=#00554"
"#02148","=#00555"
"#02149","=#00556"
"#02150","=#00557"
"#02151","=#00558"
"#02152","=#00559"
"#02153","=#00560"
"#02154","=#00561"
"#02155","=#00582"
"#02156","=#01134"
"#02157","=#01137"
"#02158","=#00583"
"#02159","=#00584"
"#02160","=#00585"
"#02161","=#00586"
"#02162","=#00587"
"#02163","=#00588"
"#02164","=#00589"
"#02165","=#00590"
"#02166","=#00592"
"#02167","=#00593"
"#02168","=#00594"
"#02169","=#00595"
"#02170","=#00596"
"#02171","=#00597"
"#02172","=#00598"
"#02173","=#00599"
"#02174","=#00600"
"#02175","=#00603"
"#02176","=#01135"
"#02177","=#00604"
"#02178","=#00605"
"#02179","=#00606"
"#02180","=#00607"
"#02181","=#00608"
"#02182","=#00610"
"#02183","=#00611"
"#02184","=#00613"
"#02185","=#00614"
"#02186","=#00616"
"#02187","=#00617"
"#02188","=#00618"
"#02189","=#00619"
"#02190","=#00620"
"#02191","=#00621"
"#02192","=#00622"
"#02193","=#00623"
"#02194","=#00624"
"#02195","=#00625"
"#02196","=#00629"
"#02197","=#00630"
"#02198","=#00631"
"#02199","=#00632"
"#02200","=#00633"
"#02201","=#00634"
"#02202","=#00635"
"#02203","=#00636"
"#02204","=#00637"
"#02205","=#00638"
"#02206","=#00639"
"#02207","=#00640"
"#02208","=#01404"
"#02209","Let's get researching!"
"#02210","=#01042"
"#02211","=#00904"
"#02212","=#01405"
"#02213","=#01043"
"#02214","=#01406"
"#02215","=#01044"
"#02216","=#01407"
"#02217","=#01045"
"#02218","Footpath"
"#02219","=#01409"
"#02220","=#01410"
"#02221","=#00340"
"#02222","=#01422"
"#02223","=#01423"
"#02224","=#01424"
"#02225","=#01426"
"#02226","=#01427"
"#02227","=#01428"
"#02228","=#01429"
"#02229","=#01430"
"#02230","=#01431"
"#02231","=#01432"
"#02232","=#01433"
"#02233","=#01434"
"#02234","=#01435"
"#02235","=#01436"
"#02236","Farm"
"#02237","=#01438"
"#02238","=#01439"
"#02239","=#01440"
"#02240","=#01441"
"#02241","=#01442"
"#02242","=#01443"
"#02243","=#01444"
"#02244","=#01445"
"#02245","=#01448"
"#02246","=#01449"
"#02247","=#01450"
"#02248","=#01451"
"#02249","=#01452"
"#02250","=#01453"
"#02251","=#01454"
"#02252","=#01455"
"#02253","=#01456"
"#02254","=#01457"
"#02255","=#01458"
"#02256","=#01459"
"#02257","=#01460"
"#02258","=#01461"
"#02259","=#01462"
"#02260","=#01463"
"#02261","=#01464"
"#02262","=#01465"
"#02263","=#01466"
"#02264","=#01467"
"#02265","=#01468"
"#02266","=#01469"
"#02267","=#01470"
"#02268","=#01471"
"#02269","=#01472"
"#02270","=#01536"
"#02271","=#01538"
"#02272","=#01543"
"#02273","=#01561"
"#02274","=#01046"
"#02275","=#01562"
"#02276","=#01047"
"#02277","=#01476"
"#02278","Gold Bar"
"#02279","=#01477"
"#02280","=#01049"
"#02281","=#01478"
"#02282","=#01050"
"#02283","=#01479"
"#02284","=#01051"
"#02285","=#01501"
"#02286","=#01502"
"#02287","=#01503"
"#02288","=#01504"
"#02289","=#01505"
"#02290","=#01506"
"#02291","=#01507"
"#02292","=#01508"
"#02293","=#01509"
"#02294","=#01510"
"#02295","=#01511"
"#02296","=#01512"
"#02297","=#01513"
"#02298","=#01514"
"#02299","=#01515"
"#02300","=#01516"
"#02301","=#01517"
"#02302","=#01518"
"#02303","=#01519"
"#02304","=#01520"
"#02305","=#01521"
"#02306","=#01522"
"#02307","=#01523"
"#02308","=#01524"
"#02309","=#01525"
"#02310","=#01526"
"#02311","=#01527"
"#02312","=#01528"
"#02313","=#01529"
"#02314","=#01071"
"#02315","=#01531"
"#02316","=#01532"
"#02317","=#01533"
"#02318","=#01563"
"#02319","=#01564"
"#02320","=#01573"
"#02321","=#01566"
"#02322","=#01567"
"#02323","=#01568"
"#02324","=#00931"
"#02325","=#01052"
"#02326","=#00937"
"#02327","=#01053"
"#02328","=#00943"
"#02329","=#01054"
"#02330","=#00948"
"#02331","=#01055"
"#02332","=#00969"
"#02333","=#01056"
"#02334","=#00972"
"#02335","=#01057"
"#02336","=#00975"
"#02337","=#01058"
"#02338","=#00978"
"#02339","=#01059"
"#02340","=#00981"
"#02341","=#01060"
"#02342","=#00984"
"#02343","=#01061"
"#02344","=#00987"
"#02345","=#01062"
"#02346","=#00990"
"#02347","=#00993"
"#02348","=#00996"
"#02349","=#00999"
"#02350","=#01002"
"#02351","=#01005"
"#02352","=#01008"
"#02353","=#01031"
"#02354","=#01040"
"#02355","=#01034"
"#02356","=#01035"
"#02357","=#01036"
"#02358","=#01037"
"#02359","=#01603"
"#02360","=#01594"
"#02361","=#01606"
"#02362","=#01604"
"#02363","=#00001"
"#02364","Normal Attack"
"#02365","Bow Attack"
"#02366","Gun Attack"
"#02367","Critical Hit"
"#02368","Arrow Rain"
"#02369","Shoots a bunch of arrows."
"#02370","Fire Magic <0>"
"#02372","Attack with a magic spell."
"#02377","Ice Magic <0>"
"#02378","Lightning Magic <0>"
"#02379","Half Reflect"
"#02380","Deal 50% of damage received back to the enemy."
"#02381","Full Reflect"
"#02382","Deal 100% of damage received back to the enemy."
"#02383","<0>-Hit Attack"
"#02384","<0> consecutive attacks."
"#02385","Counter"
"#02386","Counterattack immediately after an enemy's attack."
"#02387","Parry"
"#02388","Reduce damage taken from an enemy's attack."
"#02389","Perfect Dodge"
"#02390","Dodge all enemies' attacks when activated."
"#02391","Dodge UP"
"#02392","Increases chances of dodging enemy attacks for a short time."
"#02393","Critical UP"
"#02394","Increases chances of landing critical hits for a short time."
"#02395","Direct Attack <0>"
"#02396","A <0>-row attack in a straight line."
"#02397","Area Attack <0>"
"#02398","A <0>-row area attack."
"#02399","Myriad Arrows"
"#02400","Attack a wide area with a bow."
"#02401","Heal <0>"
"#02402","=#01954"
"#02403","Recover HP by <0>%."
"#02404","M"
"#02405","L"
"#02406","Revive <0>%"
"#02407","Revive an ally with <0>% HP."
"#02408","Agriculturist"
"#02409","Helps grow better crops in fields."
"#02410","Construction Chief"
"#02411","Construction will be successful no matter how many builders."
"#02412","Thief"
"#02413","Sometimes causes a treasure chest to appear when attacking."
"#02414","Culinarian"
"#02415","Produce items at restaurants etc."
"#02416","Transport Corps"
"#02417","Allows you to move materials between different towns."
"#02418","Research"
"#02419","Allows you to perform research."
"#02420","Research <0>"
"#02421","Reduces research time by <0>%"
"#02422","Ranch Know-How"
"#02423","Allows you to catch animals and raise them on the farm."
"#02424","Treasure Analysis"
"#02425","Allows you to extract the contents of treasure chests."
"#02426","Craftsmanship"
"#02427","Allows you to create products for tourists in a workshop."
"#02428","Craftsmanship <0>"
"#02429","Reduces crafting time by <0>%"
"#02430","Instant <0>"
"#02431","Construction"
"#02432","Complete construction instantly."
"#02433","Workshop"
"#02434","Complete production instantly."
"#02435","Insta-Move"
"#02436","Occasionally move to your destination instantly."
"#02437","Weeding"
"#02438","Complete harvesting natural resources instantly."
"#02439","Complete treasure chest analysis instantly."
"#02440","Move Speed UP"
"#02441","Increases walking speed."
"#02442","All-Out Sprint"
"#02443","Always dash."
"#02444","Miner"
"#02445","Allows you to mine."
"#02446","Deployment Range <0>"
"#02447","Increases questing range a little."
"#02448","Significantly increases questing range."
"#02449","De-Fogger"
"#02450","Dispel fog over a wider area."
"#02451","Experience UP <0>"
"#02452","Increases EXP gained from battles a little."
"#02453","Increases EXP gained from battles."
"#02454","Significantly increases EXP gained from battles."
"#02455","Deployment Discount <0>"
"#02456","Decreases Energy consumed during quests a little."
"#02457","Significantly decreases Energy consumed during quests."
"#02458","Auto Recovery <0>"
"#02459","HP"
"#02460","Steadily recover <0>"
"#02461","HP while walking."
"#02462","MP"
"#02463","MP while walking."
"#02464","Vigor"
"#02465","Vigor while walking."
"#02466","Facility Rec. UP <0>"
"#02467","Increases HP recovered when using facilities."
"#02468","Increases Vigor recovered when using facilities."
"#02469","Increases MP recovered when using facilities."
"#02470","Stubborn"
"#02471","When mortally wounded, auto-revives at the cost of own MP."
"#02472","<0> Resistance"
"#02473","Sword"
"#02474","Negates weakness against <0>-type weapons."
"#02475","Staff"
"#02476","=#00345"
"#02477","Spear"
"#02478","=#00336"
"#02479","Club"
"#02480","Gun"
"#02481","Bow"
"#02482","Book"
"#02483","Shield Resistance"
"#02484","Shield"
"#02485","Stealth"
"#02486","Dispelling fog will not attract monsters."
"#02487","Instinct"
"#02488","Digging will not attract monsters."
"#02489","Strategic Retreat"
"#02490","Picking up items will end a battle."
"#02491","Battle Maniac"
"#02492","Won't pick up items during quests."
"#02493","House-sitter"
"#02494","Round Trip"
"#02495","Return to town after exploring all available quest areas."
"#02496","Rambler"
"#02497","Naturalist"
"#02498","Traveler"
"#02499","Aid Specialist"
"#02500","Unable to fight during enemy attacks."
"#02501","Domestic Production"
"#02502","Makes it easier to collect materials within your territory."
"#02503","Countryside Fanatic"
"#02504","Well-Prepared"
"#02505","Leading the Charge"
"#02506","Stands in the front line in boss battles."
"#02507","Daring Charge"
"#02508","Stands directly in front of the boss in boss battles."
"#02509","Backup"
"#02510","Stays at the back in boss battles."
"#02511","=#02393"
"#02512","Skilled Craftsman <0>"
"#02513","Spends more time in workshops."
"#02514","Spends a lot more time in workshops."
"#02515","Armor Breaker <0>"
"#02516","Lowers enemies' DEF by <0>%"
"#02517","Sandman <0>"
"#02518","Puts enemies to sleep for a short time."
"#02519","Skill"
"#02520","Guerilla <0>"
"#02521","Patrols a <0>-square area around town at own initiative."
"#02522","Art <0>"
"#02523","Allows you to create products at a studio."
"#02524","Makes item creation at a studio a little quicker."
"#02525","Makes item creation at a studio quicker."
"#02526","Makes item creation at a studio a lot quicker."
"#02527","Makes item creation at a studio significantly quicker."
"#02528","Capture"
"#02529","Allows you to capture wild animals."
"#02530","Chat <0>"
"#02531","Makes it a little easier to build affection."
"#02532","Makes it easier to build affection."
"#02533","Makes it much easier to build affection."
"#02534","No Prize"
"#02535","Win (S)"
"#02536","Win (M)"
"#02537","Win (L)"
"#02538","not use"
"#02539","Week(s)"
"#02540","Support"
"#02541","Auto"
"#02542","All"
"#02543","Contents"
"#02544","Forecast"
"#02545","Recall All"
"#02546","Sort"
"#02547","Restore"
"#02548","Reset"
"#02549","OK"
"#02550","Quit"
"#02551","Back"
"#02552","Yes"
"#02553","No"
"#02554","Confirm"
"#02555","Save"
"#02556","Menu"
"#02557","You"
"#02558","Top"
"#02559","Site"
"#02560","=#01411"
"#02561","Password"
"#02562","Rename"
"#02563","Rotate"
"#02564","=#01402"
"#02565","=#01403"
"#02566","=#02550"
"#02567","Next"
"#02568","Close"
"#02569","History"
"#02570","Follow"
"#02574","Vs. Kairobot Knight (Easy)"
"#02575","Defeat me to get treasure!"
"#02576","Vs. Kairobot Knight (Normal)"
"#02577","Vs. Kairobot Knight (Hard)"
"#02578","Vs. Kairobot Knight (Extreme)"
"#02579","Vs. Kairobot Mage (Easy)"
"#02580","Vs. Kairobot Mage (Normal)"
"#02581","Vs. Kairobot Mage (Hard)"
"#02582","Vs. Kairobot Mage (Extreme)"
"#02583","Vs. Aloha Kairobot (Easy)"
"#02584","Vs. Aloha Kairobot (Normal)"
"#02585","Vs. Aloha Kairobot (Hard)"
"#02586","Vs. Aloha Kairobot (Extreme)"
"#02587","Vs. Kairo Kommander (Easy)"
"#02588","Vs. Kairo Kommander (Normal)"
"#02589","Vs. Kairo Kommander (Hard)"
"#02590","Vs. Kairo Kommander (Extreme)"
"#02591","Wairo Raid Dungeon appeared!"
"#02592","Heh heh. Think you can take me?"
"#02593","Wairobot Rebel"
"#02594","Nightmare Demonic Wairobot"
"#02595","Take out the Wairo Tank!"
"#02596","Survey: High Grade Storehouse (<0>) Blueprints"
"#02603","=#00001"
"#02604","Survey: High Grade Storehouse (Treasure) Blueprints"
"#02605","Survey: High Grade Storehouse (Items) Blueprints"
"#02606","Survey: High Grade Storehouse (Eggs) Blueprints"
"#02607","Survey: Bridge Blueprints"
"#02608","Survey: Chaos Stone"
"#02609","Survey: Materials (<0>)"
"#02610","Survey: Materials XL (<0>)"
"#02611","Survey: Fruit (<0>)"
"#02612","Easy"
"#02613","Medium"
"#02614","Hard"
"#02615","Extreme"
"#02616","Survey: Medicine (<0>)"
"#02617","Survey: Vegetables (<0>)"
"#02618","Survey: Seafood (<0>)"
"#02619","Survey: Tools (<0>)"
"#02620","Survey: Equipment Materials (<0>)"
"#02621","Survey: Copper Coins (<0>)"
"#02622","Survey: Kairo Series (<0>)"
"#02628","Survey: Unused"
"#02629","Survey: Cash Register"
"#02630","Survey: Dragon Taming"
"#02631","Survey: Skill Manuals"
"#02634","Survey: Master Instructor"
"#02635","Greetings! I'll be your advisor, assisting you as best as I can with building your kingdom."
,"I was here during the old king's reign. This country used to be a bustling hub of culture and civilization."
,"Look at it now... Just a barren wasteland."
,"But that's where you come in! Let's get the kingdom back on the road. First, we need a town hall."
"#02636","=#00001"
"#02637","Salutations. I'm an advisor from another kingdom."
,"I heard rumors that some courageous warriors had been defeating monsters plaguing this land."
,"I see, so you're the one responsible... You have the power to change the future, I can see it in your eyes."
,"I happen to have some spare Energy. I'd be happy to share it with you."
"#02638","Hello! I heard you've reached Royal Rank 5 already."
,"I thought to myself, now there's someone worth keeping an eye on. You've made so much progress in such a short amount of time."
,"Looks like you're a little closer to my own country's rank. I'll have to call a council to discuss this..."
,"Would you like some more Energy? I'd be happy to share some, if you can make good use of it."
"#02639","Hello. It's good to see you again."
,"You're really catching up to me, rank-wise. But I haven't been standing idle."
,"I got to Rank 7 yesterday! Just thought I'd come by to let you know I still have the lead."
,"Wait, you're...Rank 7? You...caught up to me...?"
,"Excuse me, I have to get back and call an urgent meeting. Here, take this as a parting gift."
"#02640","Been a while! Haven't you been busy as a bee?"
,"News of your progress is music to my ears. I even heard about it with my earplugs in!"
,"As always, I've brought you some extra Energy. I hope you'll make good use of it. Goodbye."
"#02641","Hello. It's good to see you again."
,"Thanks to all the hard work you've been doing, even my kingdom is seeing a lot less monster attacks."
,"That means less work for me! I've really been getting into my TV shows and social media now that I have more spare time."
,"I hope you'll continue your efforts to make this world a peaceful place to live. And here, have some Energy. It's on me."
"#02642","Been a while! Keeping busy as always, aren't you?"
,"I heard all about it on a letter attached to an arrow. It just narrowly missed my head!"
,"Actually, it was less a letter and more...a USB drive. Technology really has come a long way."
,"I hope you'll continue your efforts to make this world a peaceful place to live. And here, have some Energy. It's on me."
"#02643","Hello. It's good to see you again."
,"Thanks to you, I barely ever need to leave the house any more. Feels like years since I last got any exercise."
,"I hope you'll continue your efforts to make this world one where I can be indulgently lazy. And here, have some Energy. It's on me."
"#02644","Greetings! Everyone's talking about your meteoric rise to stardom."
,"I sleep better at night knowing I have such a dependable neighbor."
,"I expect even more great things from you! Here, a little extra Energy as incentive."
"#02645","Farewell, until we meet again!"
"#02646","No <0> available."
"#02647","<0> can't be equipped."
"#02648","<0>? You've already got that equipped."
"#02649","Your storehouse is complete.<br>The town can now hold more materials."
"#02650","You need more <pic=money>."
"#02651","You need more <pic=grass>."
"#02652","You need more <pic=wood>."
"#02653","You need more <pic=food>."
"#02654","You need more <pic=iron>."
"#02655","You need more <pic=magic>."
"#02656","There aren't any rewards available at the moment."
"#02657","Goodbye, <0>..."
,"Skills and equipment have been returned."
"#02658","You can't part ways with them right now."
,"Your residents aren't doing anything right now.<br>Check back in later."
"#02659","There's no one left to restore the kingdom..."
"#02660","This hasn't been discovered yet."
"#02661","You need more <pic=stamina>."
"#02662","We've reached the maximum possible number of storehouses for a town of this rank."
"#02663","You need more items."
"#02664","You don't have permission to employ them."
"#02665","F-finally! Everywhere has been restored to normal..."
,"The kingdom looks just like it used to in its heyday."
,"You've astonished everybody on this island! Congratulations!"
"#02666","Hi there! Looks like you're making friends left, right, and center."
,"The Banana Kingdom has sent us a prize."
"#02667","Friends can help you out during conquests and other activities. Everything's better with a little company."
,"Farewell for now."
"#02668","How about that - there are still unexplored areas on this island!"
"#02669","Let's get to work building a town hall. Pick anywhere you like."
"#02670","That's set the boundaries of your town."
,"From here on, you'll be able to add houses, shops, storehouses... Everything brings us a step closer to regaining the kingdom's former glory."
,"Next up, we should try digging out some spare plots of land."
"#02671","Let's use this as the foundation for the Royal Room."
"#02672","Oh shoot, we forgot to recruit some residents to live here!"
,"With its current rank, the town can have up to three residents. Select them from the Town Hall."
"#02673","I'll be praying for the success of this quest."
,"Deploying allies to dispel the fog will help you get more land for expansion."
,"I recently acquired the tools of a master craftsman from the old king's reign. I think you'll find them useful."
